from,to,date,origin
6979,30401,16690503,-
21118,19168,16780720,Whitehall
41652,20945,16051231,Paris
42333,451,16560625,-
48964,40994,17040506,Berlin
47570,20912,16690122,Kinsale
44832,32875,16960807,Whitehall
6218,30753,16720315,-
41866,41287,16400529,Easton Neston
1133,42484,16311231,-
30723,6979,16830726,-
1628,14200,16270305,-
44542,44285,16411216,-
9737,8649,16460318,Derby House
38454,41059,16080518,-
7746,44285,16381217,-
3875,451,16590411,-
41675,27115,16580321,-
7002,42999,16660728,Dorchester
2566,451,16560218,-
55754,41287,16420110,-
10612,8326,16600306,Whitehall
11172,27654,17031101,Whitehall
18931,18711,16040407,-
874,42787,16400321,My house in Queen Street
14515,8032,16490628,Whitehall
40875,42067,16411016,-
14709,13045,16230422,-
24009,13045,16160921,-
16332,6978,16410625,-
3236,34115,16560225,-
18025,40862,16220630,-
42144,40180,16160118,-
6979,27544,16651117,-
451,34115,16580824,-
23803,21177,16970724,Dublin
6979,44035,16710910,-
51153,44285,16380816,-
6979,11520,16601026,-
20506,19287,16631013,-
11188,19159,16191112,Lincoln
42999,29531,16781126,Whitehall
10938,41533,16400809,-
27049,28027,17130303,-
44193,51051,16110205,Compton
22488,20912,16660818,Bridlington
22698,42999,16680728,Plymouth
41813,44566,16080331,Brussels
44832,28188,16970129,Whitehall
44832,451,16960910,Whitehall
20945,40980,16050531,-
7072,27747,16890619,Whitehall
4665,44108,16060403,Dover
42643,41287,16280209,-
18557,14200,16230226,-
37325,42999,16660719,Aldborough
20721,20912,16700725,Plymouth
1513,42999,16720928,Newcastle
13045,41059,16290826,-
12040,6979,16830630,-
10612,37212,16510827,Whitehall
23006,43025,16840228,-
1564,42999,16741107,Lyme
48325,14200,16250821,-
5215,42220,16370623,His Majesty&#x0027;s Fort [Plymouth]
38821,22834,15831231,-
41675,45118,16600806,Hague
16568,11232,16610118,-
48109,42999,16670130,Falmouth
451,34115,16570623,-
16098,42999,16670508,Pembroke
6979,11543,16720718,Whitehall
43025,30830,16840407,Whitehall
19858,42999,16680526,Partsmouth
4142,38385,16560428,-
1603,31641,16190427,-
7136,42067,16400320,Paris
48964,34512,17030703,Berlin
30111,20945,16240531,-
48271,27425,17110126,Lisbon
